Student Information System,Error Type,File Type,Data Element,Data Dictionary Element Value,Error Description,Info 1,Info 2,Solution
Colleague,Syntactical,EB,,,Sample error description 1,,,
Banner,Syntactical,XE,,,Sample error description 2,,,
PeopleSoft,Syntactical,SD,,,Sample error description 3,,,
Banner,Syntactical,CB,CB24,X,INVALID VALUE,WORK 0529,,"SCADETL>Supplemental Data>Supplemental Data>""Program Status"" - Check SCADETL in Banner for a valid value"
Banner,Syntactical,CB,CB00,,INVALID VALUE,CCCOOO624566,,Verify the Course Control Number has Zero's instead of O's
Banner,Syntactical,CB,CB11,A,INVALID VALUE,ADJ 9080,CCC000632502,"SCADETL>Supplemental Data>Supplemental Data>""Classification"" - Old classification code check SCADETL in Banner for a valid code"
Banner,Syntactical,CB,CB03,200100,NONCREDIT CATEGORY DOES NOT HAVE A VALID TOP CODE ,PSY 0505,CCC000613061,"Paired Error: SCADETL>Supplemental Data>Supplemental Data>""Taxonomy of Program"" - Verify the Top Code in COCI matches the Top Code in SCADETL Banner"
Banner,Syntactical,CB,CB22,J,NONCREDIT CATEGORY DOES NOT HAVE A VALID TOP CODE ,PSY 0505,CCC000613061,"Paired Error: SCADETL>Supplemental Data>Supplemental Data>""Noncredit Category"" - Verify the Non Credit Category in COCI matches the Non Credit Category in SCADETL Banner"
Banner,Syntactical,CB,CB27,,INVALID VALUE,ADHS 0950,CCC000517920,If you are seeing this for every CB element-its likely this is a new data element that hasn't been built into Banner yet.
Banner,Syntactical,SB,SB11,8XXXX,EDUCATION STATUS AND ENROLLMENT STATUS DO NOT AGREE  ,SSN/Snumber,,"Paired Error: SGASTDN>Miscellaneous>Miscellaneous Information>""Education Level""; SOAHSCH>High School Details>High School Details>""Graduation Date"" - Check the DED-Only one of these conditions can be true with the paired error"
Banner,Syntactical,SB,SB15,1,EDUCATION STATUS AND ENROLLMENT STATUS DO NOT AGREE  ,SSN/Snumber,,"Paired Error: SGASTDN>Learner>General Learner>""Sudent Type"" - Check the DED-Only one of these conditions can be true with the paired error-issue is mis-match with SB11"
Banner,Syntactical,SB,,,INCORRECT RECORD LENGTH FOR SB FILE,,,Check to see if there are any accented letters in the student name-if so-change to non-accented to clear
Banner,Syntactical,SB,SB15,Y,EDUCATION STATUS AND ENROLLMENT STATUS DO NOT AGREE  ,SSN/Snumber,,"Paired Error: SGASTDN>Learner>General Learner>""Sudent Type"" - Check the DED-Only one of these conditions can be true with the paired error-issue is mismatch between SB15/SB11- having a Y necessitates 10000 (special admit) but if no high school info is available then the Y needs to change- possibly to an X"
Banner,Syntactical,SE,SE05,C,CALWORKS/TANF/AFDC DURATION MUST BE ENTERED FOR CARE STUDENTS,SSN/Snumber,,Paired Error:  If SE09 is Y SE05 must be N send to data steward to fix
Banner,Syntactical,SE,SE09,Y,CALWORKS/TANF/AFDC DURATION MUST BE ENTERED FOR CARE STUDENTS,SSN/Snumber,,Paired Error:  If SE09 is Y SE05 must be N send to data steward to fix
Banner,Syntactical,SG,SG15,2,INVALID VALUE,SSN/Snumber,,"If 2 is intended to be unknown change value to X - ""unknown/unreported"""
Banner,Syntactical,SS,SS02,0,MAJOR MUST BE IDENTIFIED IF STUDENT DEVELOPED A COMPREHENSIVE EDUCATION PLAN,SSN/Snumber,,Paired Error: conflict with student type (special admit) and ed plan. 000000 is for undeclared but C is for comprehensive ed plan. Must have a declared major with comprehensive ed plan. Issue might be related to when the service is recorded versus the term its applicable for.
Banner,Syntactical,SS,SS09,C,MAJOR MUST BE IDENTIFIED IF STUDENT DEVELOPED A COMPREHENSIVE EDUCATION PLAN,SSN/Snumber,,Paired Error: conflict with student type (special admit) and ed plan. 000000 is for undeclared but C is for comprehensive ed plan. Must have a declared major with comprehensive ed plan. Issue might be related to when the service is recorded versus the term its applicable for.
Banner,Syntactical,SS,SS01,D,INVALID VALUE,SSN/Snumber,,Banner Form: SVAMSHD - D is not a valid option for Ed Goal on the DED - Check with A&R or data steward to change.
Banner,Syntactical,SS,SS01,X,INVALID VALUE,SSN/Snumber,,Banner Form: SVAMSHD - X is not a valid option for Ed Goal on the DED - Check with A&R or data steward to change.
Banner,Syntactical,SS,SS09,,INVALID VALUE,SSN/Snumber,,"Banner Form: SVAMSTD - ""It was not possible to perform the calculation for service type ""C"" since term 202330 is not setup with an enrollment cutoff term"" Check for valid SS entry (Daily Weekly enrollment or positive attendance) "
Banner,Syntactical,SS,SS11,00 0 ," SVAMSTD> Career/Interest> Career/Interest> ""Career/Interest""",,,
Banner,Syntactical,SX,CB00,CCCOOO624566,INVALID VALUE ,,,Paired Error: paired with CB00 error - issue is related to the letter O being used in CCC number instead of zeros
Banner,Syntactical,SX,SX01,221010,DROP DATE MUST BE ON OR AFTER THE EFFECTIVE DATE ,SSN/Snumber,CCC000611511,Convert the user ID to an Snumber and and CCC number to a CRN or Subj Code and check with A&R for a valid drop date
Banner,Syntactical,SX,SX02,221007,DROP DATE MUST BE ON OR AFTER THE EFFECTIVE DATE ,SSN/Snumber,CCC000611511,Convert the user ID to an Snumber and and CCC number to a CRN or Subj Code and check with A&R for a valid drop date
Banner,Syntactical,SX,SX04,I,INVALID VALUE,SSN/Snumber,,"I - is an invalid grade - check with A&R on changing this to a valid grade on the DED - SFAALST>Class Attendance Rosters>""Final Grade"""
Banner,Syntactical,SX,SX04,XX,INVALID VALUE,SSN/Snumber,,"blank record - just got missed  - contact A&R to have this updated - SFAALST>Class Attendance Rosters>""Final Grade"""
Banner,Syntactical,SX,SX02,220406,DROP DATE CAN ONLY BE REPORTED FOR DROPS AND WITHDRAWS  ,,,Student stopped coming to classes after the census - resolve issue with A&R
Banner,Syntactical,SX,SX02,888888,DROPS AND WITHDRAWS MUST HAVE A VALID DROP DATE ,,,Dropped outside of the window - possibly extenuating circumstances - check with A&R to resolve
